quote,name,date,quote_id,lower_quote,lower_tokenized_quote,year,quote_length,tool_frequency,scaled_tool_frequency
"The intersection between Arts & Humanities disciplines and technology. A space where new tools are used and developed, and where new ways of looking at and preforming researching become possible. Most of all, it is fun. Fun because it is challenging, each day, every day.",David Beavan,2012-01-01,18,"the intersection between arts & humanities disciplines and technology. a space where new tools are used and developed, and where new ways of looking at and preforming researching become possible. most of all, it is fun. fun because it is challenging, each day, every day.","['the', 'intersection', 'between', 'arts', '&', 'humanities', 'disciplines', 'and', 'technology', '.', 'a', 'space', 'where', 'new', 'tools', 'are', 'used', 'and', 'developed', ',', 'and', 'where', 'new', 'ways', 'of', 'looking', 'at', 'and', 'preforming', 'researching', 'become', 'possible', '.', 'most', 'of', 'all', ',', 'it', 'is', 'fun', '.', 'fun', 'because', 'it', 'is', 'challenging', ',', 'each', 'day', ',', 'every', 'day', '.']",2012,53,1,0.018867924528301886
"As I said on my blog: Digital Humanities is the discipline born from the intersection between humanities scholarship and computational technologies. It aims at investigating how digital methodologies can be used to enhance research in disciplines such a History, Literature, Languages, Art History, Music, Cultural Studies and many others. Digital Humanities holds a very strong practical component as it includes the concrete creation of digital resources for the study of specific disciplines.",Elena Pierazzo,2012-01-01,19,"as i said on my blog: digital humanities is the discipline born from the intersection between humanities scholarship and computational technologies. it aims at investigating how digital methodologies can be used to enhance research in disciplines such a history, literature, languages, art history, music, cultural studies and many others. digital humanities holds a very strong practical component as it includes the concrete creation of digital resources for the study of specific disciplines.","['as', 'i', 'said', 'on', 'my', 'blog', ':', 'digital', 'humanities', 'is', 'the', 'discipline', 'born', 'from', 'the', 'intersection', 'between', 'humanities', 'scholarship', 'and', 'computational', 'technologies', '.', 'it', 'aims', 'at', 'investigating', 'how', 'digital', 'methodologies', 'can', 'be', 'used', 'to', 'enhance', 'research', 'in', 'disciplines', 'such', 'a', 'history', ',', 'literature', ',', 'languages', ',', 'art', 'history', ',', 'music', ',', 'cultural', 'studies', 'and', 'many', 'others', '.', 'digital', 'humanities', 'holds', 'a', 'very', 'strong', 'practical', 'component', 'as', 'it', 'includes', 'the', 'concrete', 'creation', 'of', 'digital', 'resources', 'for', 'the', 'study', 'of', 'specific', 'disciplines', '.']",2012,81,0,0.0
"Digital Humanities mean, to me, more now than it did back in 2009 when I first did the Day of DH. DH offers a set of tools to pose humanistic inquiry, but it doesn't necessarily offer definitive answers to those questions. Instead it celebrates and records a process of intellectual pursuit that is then distributed and disseminated to the Humanities community and abroad. Engaging in Digital Humanities is also an ethos: collaboration, building knowledge, sharing projects, screwing around. I apply this to my scholarship as well as my teaching. If my work is better, more complex, because of Digital Humanities, so too will my students' work benefit from the tools, state of mind, and ethos.",Katherine D. Harris,2012-01-01,20,"digital humanities mean, to me, more now than it did back in 2009 when i first did the day of dh. dh offers a set of tools to pose humanistic inquiry, but it doesn't necessarily offer definitive answers to those questions. instead it celebrates and records a process of intellectual pursuit that is then distributed and disseminated to the humanities community and abroad. engaging in digital humanities is also an ethos: collaboration, building knowledge, sharing projects, screwing around. i apply this to my scholarship as well as my teaching. if my work is better, more complex, because of digital humanities, so too will my students' work benefit from the tools, state of mind, and ethos.","['digital', 'humanities', 'mean', ',', 'to', 'me', ',', 'more', 'now', 'than', 'it', 'did', 'back', 'in', '2009', 'when', 'i', 'first', 'did', 'the', 'day', 'of', 'dh', '.', 'dh', 'offers', 'a', 'set', 'of', 'tools', 'to', 'pose', 'humanistic', 'inquiry', ',', 'but', 'it', 'does', ""n't"", 'necessarily', 'offer', 'definitive', 'answers', 'to', 'those', 'questions', '.', 'instead', 'it', 'celebrates', 'and', 'records', 'a', 'process', 'of', 'intellectual', 'pursuit', 'that', 'is', 'then', 'distributed', 'and', 'disseminated', 'to', 'the', 'humanities', 'community', 'and', 'abroad', '.', 'engaging', 'in', 'digital', 'humanities', 'is', 'also', 'an', 'ethos', ':', 'collaboration', ',', 'building', 'knowledge', ',', 'sharing', 'projects', ',', 'screwing', 'around', '.', 'i', 'apply', 'this', 'to', 'my', 'scholarship', 'as', 'well', 'as', 'my', 'teaching', '.', 'if', 'my', 'work', 'is', 'better', ',', 'more', 'complex', ',', 'because', 'of', 'digital', 'humanities', ',', 'so', 'too', 'will', 'my', 'students', ""'"", 'work', 'benefit', 'from', 'the', 'tools', ',', 'state', 'of', 'mind', ',', 'and', 'ethos', '.']",2012,135,2,0.014814814814814815
"The practice of combining emerging digital tools and traditional humanistic study to create new, interactive, integrative, and public ways of disseminating research and discovery.",Lee Skallerup Bessette,2012-01-01,21,"the practice of combining emerging digital tools and traditional humanistic study to create new, interactive, integrative, and public ways of disseminating research and discovery.","['the', 'practice', 'of', 'combining', 'emerging', 'digital', 'tools', 'and', 'traditional', 'humanistic', 'study', 'to', 'create', 'new', ',', 'interactive', ',', 'integrative', ',', 'and', 'public', 'ways', 'of', 'disseminating', 'research', 'and', 'discovery', '.']",2012,28,1,0.03571428571428571
"As the studying and building of digital research tools for humanities scholarship. For me, this entails trying to offer informed guidance to the historians who want to use digital research tools (but can't build them) and the developers who can build these digital research tools (but won't be using them).",James Baker,2012-01-01,22,"as the studying and building of digital research tools for humanities scholarship. for me, this entails trying to offer informed guidance to the historians who want to use digital research tools (but can't build them) and the developers who can build these digital research tools (but won't be using them).","['as', 'the', 'studying', 'and', 'building', 'of', 'digital', 'research', 'tools', 'for', 'humanities', 'scholarship', '.', 'for', 'me', ',', 'this', 'entails', 'trying', 'to', 'offer', 'informed', 'guidance', 'to', 'the', 'historians', 'who', 'want', 'to', 'use', 'digital', 'research', 'tools', '(', 'but', 'ca', ""n't"", 'build', 'them', ')', 'and', 'the', 'developers', 'who', 'can', 'build', 'these', 'digital', 'research', 'tools', '(', 'but', 'wo', ""n't"", 'be', 'using', 'them', ')', '.']",2012,59,3,0.05084745762711865
"DH allows, maybe even forces, me to think differently about teaching. It's a community of learners and thinkers who look at tools as ways to make new tools and knowledge.",Ian Thomas,2012-01-01,23,"dh allows, maybe even forces, me to think differently about teaching. it's a community of learners and thinkers who look at tools as ways to make new tools and knowledge.","['dh', 'allows', ',', 'maybe', 'even', 'forces', ',', 'me', 'to', 'think', 'differently', 'about', 'teaching', '.', 'it', ""'s"", 'a', 'community', 'of', 'learners', 'and', 'thinkers', 'who', 'look', 'at', 'tools', 'as', 'ways', 'to', 'make', 'new', 'tools', 'and', 'knowledge', '.']",2012,35,2,0.05714285714285714
Digital Humanities is the critical study of how the technologies and techniques associated with the digital medium intersect with and alter humanities scholarship and scholarly communication.,Julia Flanders,2012-01-01,24,digital humanities is the critical study of how the technologies and techniques associated with the digital medium intersect with and alter humanities scholarship and scholarly communication.,"['digital', 'humanities', 'is', 'the', 'critical', 'study', 'of', 'how', 'the', 'technologies', 'and', 'techniques', 'associated', 'with', 'the', 'digital', 'medium', 'intersect', 'with', 'and', 'alter', 'humanities', 'scholarship', 'and', 'scholarly', 'communication', '.']",2012,27,0,0.0
Oftener and oftener as one's self-identification with a perceived inflection of study and regard for the world that involves humanities scholarship in digital environments.,Tanya Clement,2012-01-01,25,oftener and oftener as one's self-identification with a perceived inflection of study and regard for the world that involves humanities scholarship in digital environments.,"['oftener', 'and', 'oftener', 'as', 'one', ""'s"", 'self-identification', 'with', 'a', 'perceived', 'inflection', 'of', 'study', 'and', 'regard', 'for', 'the', 'world', 'that', 'involves', 'humanities', 'scholarship', 'in', 'digital', 'environments', '.']",2012,26,0,0.0
This is my first time participating in the event. I think of digital humanities as the intersection of computing and the arts.,Christian Price,2012-01-01,26,this is my first time participating in the event. i think of digital humanities as the intersection of computing and the arts.,"['this', 'is', 'my', 'first', 'time', 'participating', 'in', 'the', 'event', '.', 'i', 'think', 'of', 'digital', 'humanities', 'as', 'the', 'intersection', 'of', 'computing', 'and', 'the', 'arts', '.']",2012,24,0,0.0
Digital Humanities are the first step towards Future Humanities.,Davor,2012-01-01,27,digital humanities are the first step towards future humanities.,"['digital', 'humanities', 'are', 'the', 'first', 'step', 'towards', 'future', 'humanities', '.']",2012,10,0,0.0
"I view the Digital Humanities as a constantly changing field, which escapes easy definition - this is has benefits but also presents challenges! Standard definitions talk about the application of information technology to humanities teaching and research - whether that be to develop better ways of doing things or to create new questions and paradigms - but I think that the field also has a key role in articulating how technology is changing scholarship.",Paul Spence,2012-01-01,28,"i view the digital humanities as a constantly changing field, which escapes easy definition - this is has benefits but also presents challenges! standard definitions talk about the application of information technology to humanities teaching and research - whether that be to develop better ways of doing things or to create new questions and paradigms - but i think that the field also has a key role in articulating how technology is changing scholarship.","['i', 'view', 'the', 'digital', 'humanities', 'as', 'a', 'constantly', 'changing', 'field', ',', 'which', 'escapes', 'easy', 'definition', '-', 'this', 'is', 'has', 'benefits', 'but', 'also', 'presents', 'challenges', '!', 'standard', 'definitions', 'talk', 'about', 'the', 'application', 'of', 'information', 'technology', 'to', 'humanities', 'teaching', 'and', 'research', '-', 'whether', 'that', 'be', 'to', 'develop', 'better', 'ways', 'of', 'doing', 'things', 'or', 'to', 'create', 'new', 'questions', 'and', 'paradigms', '-', 'but', 'i', 'think', 'that', 'the', 'field', 'also', 'has', 'a', 'key', 'role', 'in', 'articulating', 'how', 'technology', 'is', 'changing', 'scholarship', '.']",2012,77,0,0.0
"Digital Humanities is the combination of using digital techniques to better understand and present our understanding of the Humanities. It is about the dissemination of our work, the sharing of knowledge and collaborating to give the best possible chance to a project. Digital Humanities is about the Community, about learning, constantly evolving and being open to new ways of thinking about old questions. It is not, as a friend asked, about building digital humans.",Natasha Martin,2012-01-01,29,"digital humanities is the combination of using digital techniques to better understand and present our understanding of the humanities. it is about the dissemination of our work, the sharing of knowledge and collaborating to give the best possible chance to a project. digital humanities is about the community, about learning, constantly evolving and being open to new ways of thinking about old questions. it is not, as a friend asked, about building digital humans.","['digital', 'humanities', 'is', 'the', 'combination', 'of', 'using', 'digital', 'techniques', 'to', 'better', 'understand', 'and', 'present', 'our', 'understanding', 'of', 'the', 'humanities', '.', 'it', 'is', 'about', 'the', 'dissemination', 'of', 'our', 'work', ',', 'the', 'sharing', 'of', 'knowledge', 'and', 'collaborating', 'to', 'give', 'the', 'best', 'possible', 'chance', 'to', 'a', 'project', '.', 'digital', 'humanities', 'is', 'about', 'the', 'community', ',', 'about', 'learning', ',', 'constantly', 'evolving', 'and', 'being', 'open', 'to', 'new', 'ways', 'of', 'thinking', 'about', 'old', 'questions', '.', 'it', 'is', 'not', ',', 'as', 'a', 'friend', 'asked', ',', 'about', 'building', 'digital', 'humans', '.']",2012,83,0,0.0
"I would define Digital Humanities as a term used to identify persons, practices, ideologies, etc., that conform to institutional and scholarly values as determined by individual and institutional norms. But I would distinguish the definition of DH from doing digital humanities work (theoretical, practical, critical), which means something much more. Doing digital humanities means challenging the institutionalization of humanistic inquiry; in fact, it means responding to the crippling institutionalization of emotive responses to humanistic practices within the public sphere of all “knowledge workers.” To do this means that we must build tools, technologies, methodologies, and theories that represent this disruptive force, but we must also put what we build into practice. It is not longer enough to present (or represent) an idea, a tool; we must do the work of the community and we must engage the community in developing the ways in which we make our (our as in humanity) work accessible (this means disability studies needs to become a stronger focus of our scholarship and our practices). We must, as Alan Liu argued practice being the service community that we have always wanted to become.",Shawn W. Moore,2012-01-01,30,"i would define digital humanities as a term used to identify persons, practices, ideologies, etc., that conform to institutional and scholarly values as determined by individual and institutional norms. but i would distinguish the definition of dh from doing digital humanities work (theoretical, practical, critical), which means something much more. doing digital humanities means challenging the institutionalization of humanistic inquiry; in fact, it means responding to the crippling institutionalization of emotive responses to humanistic practices within the public sphere of all “knowledge workers.” to do this means that we must build tools, technologies, methodologies, and theories that represent this disruptive force, but we must also put what we build into practice. it is not longer enough to present (or represent) an idea, a tool; we must do the work of the community and we must engage the community in developing the ways in which we make our (our as in humanity) work accessible (this means disability studies needs to become a stronger focus of our scholarship and our practices). we must, as alan liu argued practice being the service community that we have always wanted to become.","['i', 'would', 'define', 'digital', 'humanities', 'as', 'a', 'term', 'used', 'to', 'identify', 'persons', ',', 'practices', ',', 'ideologies', ',', 'etc.', ',', 'that', 'conform', 'to', 'institutional', 'and', 'scholarly', 'values', 'as', 'determined', 'by', 'individual', 'and', 'institutional', 'norms', '.', 'but', 'i', 'would', 'distinguish', 'the', 'definition', 'of', 'dh', 'from', 'doing', 'digital', 'humanities', 'work', '(', 'theoretical', ',', 'practical', ',', 'critical', ')', ',', 'which', 'means', 'something', 'much', 'more', '.', 'doing', 'digital', 'humanities', 'means', 'challenging', 'the', 'institutionalization', 'of', 'humanistic', 'inquiry', ';', 'in', 'fact', ',', 'it', 'means', 'responding', 'to', 'the', 'crippling', 'institutionalization', 'of', 'emotive', 'responses', 'to', 'humanistic', 'practices', 'within', 'the', 'public', 'sphere', 'of', 'all', '“', 'knowledge', 'workers.', '”', 'to', 'do', 'this', 'means', 'that', 'we', 'must', 'build', 'tools', ',', 'technologies', ',', 'methodologies', ',', 'and', 'theories', 'that', 'represent', 'this', 'disruptive', 'force', ',', 'but', 'we', 'must', 'also', 'put', 'what', 'we', 'build', 'into', 'practice', '.', 'it', 'is', 'not', 'longer', 'enough', 'to', 'present', '(', 'or', 'represent', ')', 'an', 'idea', ',', 'a', 'tool', ';', 'we', 'must', 'do', 'the', 'work', 'of', 'the', 'community', 'and', 'we', 'must', 'engage', 'the', 'community', 'in', 'developing', 'the', 'ways', 'in', 'which', 'we', 'make', 'our', '(', 'our', 'as', 'in', 'humanity', ')', 'work', 'accessible', '(', 'this', 'means', 'disability', 'studies', 'needs', 'to', 'become', 'a', 'stronger', 'focus', 'of', 'our', 'scholarship', 'and', 'our', 'practices', ')', '.', 'we', 'must', ',', 'as', 'alan', 'liu', 'argued', 'practice', 'being', 'the', 'service', 'community', 'that', 'we', 'have', 'always', 'wanted', 'to', 'become', '.']",2012,218,2,0.009174311926605505
"I think I said last year that I dislike that question, and that remains the case. Its boundaries are continually shifting and elude satisfactory definition. Even something as simple as 'Using computers for teaching and research in the Humanities' can have caveats. I recognise why a definition of DH might be desirable, but still: I dislike the question.",Justin Tonra,2012-01-01,31,"i think i said last year that i dislike that question, and that remains the case. its boundaries are continually shifting and elude satisfactory definition. even something as simple as 'using computers for teaching and research in the humanities' can have caveats. i recognise why a definition of dh might be desirable, but still: i dislike the question.","['i', 'think', 'i', 'said', 'last', 'year', 'that', 'i', 'dislike', 'that', 'question', ',', 'and', 'that', 'remains', 'the', 'case', '.', 'its', 'boundaries', 'are', 'continually', 'shifting', 'and', 'elude', 'satisfactory', 'definition', '.', 'even', 'something', 'as', 'simple', 'as', ""'using"", 'computers', 'for', 'teaching', 'and', 'research', 'in', 'the', 'humanities', ""'"", 'can', 'have', 'caveats', '.', 'i', 'recognise', 'why', 'a', 'definition', 'of', 'dh', 'might', 'be', 'desirable', ',', 'but', 'still', ':', 'i', 'dislike', 'the', 'question', '.']",2012,66,0,0.0
"Qualitative queries, quantified.",Michael Ullyot,2012-01-01,32,"qualitative queries, quantified.","['qualitative', 'queries', ',', 'quantified', '.']",2012,5,0,0.0
"The connections made between humans, text, and images that cannot be made in a strictly analog network.",Matthew Butler,2012-01-01,33,"the connections made between humans, text, and images that cannot be made in a strictly analog network.","['the', 'connections', 'made', 'between', 'humans', ',', 'text', ',', 'and', 'images', 'that', 'can', 'not', 'be', 'made', 'in', 'a', 'strictly', 'analog', 'network', '.']",2012,21,0,0.0
"The use of digital tools, media and corpora in the humanities, thus changing both the objects and practices in the Humanities.",Lebarbé Thomas,2012-01-01,34,"the use of digital tools, media and corpora in the humanities, thus changing both the objects and practices in the humanities.","['the', 'use', 'of', 'digital', 'tools', ',', 'media', 'and', 'corpora', 'in', 'the', 'humanities', ',', 'thus', 'changing', 'both', 'the', 'objects', 'and', 'practices', 'in', 'the', 'humanities', '.']",2012,24,1,0.041666666666666664
The undertaking of humanities using digital tools and techniques. (But I've read much better answers previous years.),James Cummings,2012-01-01,35,the undertaking of humanities using digital tools and techniques. (but i've read much better answers previous years.),"['the', 'undertaking', 'of', 'humanities', 'using', 'digital', 'tools', 'and', 'techniques', '.', '(', 'but', 'i', ""'ve"", 'read', 'much', 'better', 'answers', 'previous', 'years', '.', ')']",2012,22,1,0.045454545454545456
sudo riverrun past eve,Aurélien Berra,2012-01-01,36,sudo riverrun past eve,"['sudo', 'riverrun', 'past', 'eve']",2012,4,0,0.0
When quantification meets representation.,Ben Miller,2012-01-01,37,when quantification meets representation.,"['when', 'quantification', 'meets', 'representation', '.']",2012,5,0,0.0
